entry_dt,exit_dt,direction,entry_price,exit_price,sl,tp,pnl_usd,result,capital,pips,spread_pips,slippage_pips,commission_usd,type
2021-05-26 00:00:00,2021-05-26 00:00:00,LONG,1.2249299999999999,1.2249299999999999,0.0,0.0,-0.001,COST,149.999,0.0,1.5,0.2,0.0,COST
2021-05-26 00:00:00,2021-05-26 16:00:00,LONG,1.2249299999999999,1.2214797197326894,1.2214997197326893,1.2340774140461612,-2.2427,LOSS,147.7563,-34.5,1.5,0.2,0.0,SL
2021-05-31 00:00:00,2021-05-31 00:00:00,SHORT,1.21991,1.21991,0.0,0.0,-0.0007,COST,147.7557,0.0,1.5,0.2,0.0,COST
2021-05-31 00:00:00,2021-06-01 16:00:00,SHORT,1.21991,1.2246817029195058,1.224661702919506,1.207238792214651,-2.195,LOSS,145.5607,-47.7,1.5,0.2,0.0,SL
2021-06-01 20:00:00,2021-06-01 20:00:00,LONG,1.2233299999999998,1.2233299999999998,0.0,0.0,-0.0009,COST,145.5598,0.0,1.5,0.2,0.0,COST
2021-06-01 20:00:00,2021-06-02 08:00:00,LONG,1.2233299999999998,1.219665549383672,1.219685549383672,1.2330485349768738,-2.162,LOSS,143.3978,-36.6,1.5,0.2,0.0,SL
2021-06-03 00:00:00,2021-06-03 00:00:00,SHORT,1.2209500000000002,1.2209500000000002,0.0,0.0,-0.0009,COST,143.3968,0.0,1.5,0.2,0.0,COST
2021-06-03 00:00:00,2021-06-03 12:00:00,SHORT,1.2209500000000002,1.2162838057972778,1.2244646456520418,1.2162638057972779,1.4232,WIN_PARTIAL,144.82,46.7,1.5,0.2,0.0,TP1
2021-06-03 00:00:00,2021-06-04 00:00:00,SHORT,1.2209500000000002,1.2115976115945555,1.2204813805797279,1.2115776115945556,2.8525,WIN,147.6725,93.5,1.5,0.2,0.0,TP2
2021-06-07 12:00:00,2021-06-07 12:00:00,SHORT,1.21618,1.21618,0.0,0.0,-0.001,COST,147.6715,0.0,1.5,0.2,0.0,COST
2021-06-07 12:00:00,2021-06-07 16:00:00,SHORT,1.21618,1.2195763688797492,1.2195563688797493,1.2071763496540022,-2.2076,LOSS,145.4639,-34.0,1.5,0.2,0.0,SL
2021-06-08 12:00:00,2021-06-08 12:00:00,SHORT,1.2175900000000002,1.2175900000000002,0.0,0.0,-0.001,COST,145.4628,0.0,1.5,0.2,0.0,COST
2021-06-08 12:00:00,2021-06-09 16:00:00,SHORT,1.2175900000000002,1.220708902235487,1.220688902235487,1.2093262607053685,-2.1832,LOSS,143.2796,-31.2,1.5,0.2,0.0,SL
2021-07-12 16:00:00,2021-07-12 16:00:00,SHORT,1.1853,1.1853,0.0,0.0,-0.001,COST,143.2787,0.0,1.5,0.2,0.0,COST
2021-07-12 16:00:00,2021-07-13 12:00:00,SHORT,1.1853,1.1808427572890854,1.188657932033186,1.1808227572890855,1.4263,WIN_PARTIAL,144.705,44.6,1.5,0.2,0.0,TP1
2021-07-12 16:00:00,2021-07-14 16:00:00,SHORT,1.1853,1.1832565533886432,1.1848522757289086,1.176345514578171,0.6539,BREAKEVEN,145.3589,20.4,1.5,0.2,0.0,SL
2021-07-27 12:00:00,2021-07-27 12:00:00,SHORT,1.17774,1.17774,0.0,0.0,-0.001,COST,145.3579,0.0,1.5,0.2,0.0,COST
2021-07-27 12:00:00,2021-07-27 16:00:00,SHORT,1.17774,1.1809536133132497,1.1809336133132498,1.169223697831334,-2.1853,LOSS,143.1726,-32.1,1.5,0.2,0.0,SL
2021-07-28 12:00:00,2021-07-28 12:00:00,LONG,1.18291,1.18291,0.0,0.0,-0.0009,COST,143.1717,0.0,1.5,0.2,0.0,COST
2021-07-28 12:00:00,2021-07-28 16:00:00,LONG,1.18291,1.179392647186356,1.179412647186356,1.1922362741697174,-2.1456,LOSS,141.0261,-35.2,1.5,0.2,0.0,SL
2021-07-29 00:00:00,2021-07-29 00:00:00,LONG,1.1843299999999999,1.1843299999999999,0.0,0.0,-0.0006,COST,141.0255,0.0,1.5,0.2,0.0,COST
2021-07-29 00:00:00,2021-08-06 12:00:00,LONG,1.1843299999999999,1.179363228405459,1.1793832284054588,1.1975213909187759,-2.086,LOSS,138.9394,-49.7,1.5,0.2,0.0,SL
2021-08-25 00:00:00,2021-08-25 00:00:00,LONG,1.17539,1.17539,0.0,0.0,-0.001,COST,138.9384,0.0,1.5,0.2,0.0,COST
2021-08-25 00:00:00,2021-08-27 16:00:00,LONG,1.17539,1.1793131050729107,1.172432671195317,1.1793331050729106,1.3731,WIN_PARTIAL,140.3115,39.2,1.5,0.2,0.0,TP1
2021-08-25 00:00:00,2021-08-31 12:00:00,LONG,1.17539,1.1832562101458213,1.175784310507291,1.1832762101458212,2.7532,WIN,143.0646,78.7,1.5,0.2,0.0,TP2
2021-09-13 00:00:00,2021-09-13 00:00:00,SHORT,1.18141,1.18141,0.0,0.0,-0.0012,COST,143.0635,0.0,1.5,0.2,0.0,COST
2021-09-13 00:00:00,2021-09-13 08:00:00,SHORT,1.18141,1.1777215633450875,1.1841913274911844,1.1777015633450876,1.42,WIN_PARTIAL,144.4835,36.9,1.5,0.2,0.0,TP1
2021-09-13 00:00:00,2021-09-13 16:00:00,SHORT,1.18141,1.1810591563345088,1.1810391563345088,1.173993126690175,0.1351,BREAKEVEN,144.6186,3.5,1.5,0.2,0.0,SL
2021-10-15 00:00:00,2021-10-15 00:00:00,LONG,1.15949,1.15949,0.0,0.0,-0.001,COST,144.6176,0.0,1.5,0.2,0.0,COST
2021-10-15 00:00:00,2021-10-19 04:00:00,LONG,1.15949,1.1637214217827068,1.1563014336629698,1.1637414217827067,1.4387,WIN_PARTIAL,146.0563,42.3,1.5,0.2,0.0,TP1
2021-10-15 00:00:00,2021-10-25 12:00:00,LONG,1.15949,1.1606957227716164,1.1599151421782705,1.1679928435654137,0.4099,BREAKEVEN,146.4662,12.1,1.5,0.2,0.0,SL
2021-10-27 12:00:00,2021-10-27 12:00:00,SHORT,1.15947,1.15947,0.0,0.0,-0.0011,COST,146.4651,0.0,1.5,0.2,0.0,COST
2021-10-27 12:00:00,2021-10-28 12:00:00,SHORT,1.15947,1.16242683939185,1.16240683939185,1.1516384282883998,-2.1881,LOSS,144.277,-29.6,1.5,0.2,0.0,SL
2021-11-02 12:00:00,2021-11-02 12:00:00,SHORT,1.1598700000000002,1.1598700000000002,0.0,0.0,-0.0009,COST,144.2761,0.0,1.5,0.2,0.0,COST
2021-11-02 12:00:00,2021-11-04 08:00:00,SHORT,1.1598700000000002,1.155172112079589,1.1634084159403084,1.1551521120795891,1.4329,WIN_PARTIAL,145.709,47.0,1.5,0.2,0.0,TP1
