time,open,high,low,close,volume
2026-01-15 12:45:00,1.34243,1.3425,1.34158,1.34198,551
2026-01-15 13:00:00,1.34198,1.34281,1.34198,1.34256,508
2026-01-15 13:15:00,1.34255,1.34264,1.34209,1.34226,674
2026-01-15 13:30:00,1.34229,1.34257,1.34203,1.34212,587
2026-01-15 13:45:00,1.34207,1.34221,1.34167,1.34179,613
2026-01-15 14:00:00,1.34178,1.34209,1.34148,1.34155,599
2026-01-15 14:15:00,1.34155,1.34173,1.34125,1.3416,552
2026-01-15 14:30:00,1.34161,1.34172,1.34125,1.3413,449
2026-01-15 14:45:00,1.34136,1.34136,1.34056,1.34064,512
2026-01-15 15:00:00,1.33998,1.33998,1.33985,1.33988,34
2026-01-15 15:15:00,1.33989,1.33996,1.33885,1.33902,778
2026-01-15 15:30:00,1.33901,1.33901,1.33745,1.33793,1137
2026-01-15 15:45:00,1.33791,1.33805,1.33691,1.33731,969
2026-01-15 16:00:00,1.33733,1.33828,1.33678,1.33792,928
2026-01-15 16:15:00,1.33791,1.33871,1.33766,1.33817,806
2026-01-15 16:30:00,1.33818,1.33838,1.33627,1.33662,1121
2026-01-15 16:45:00,1.33663,1.33735,1.33642,1.33711,952
2026-01-15 17:00:00,1.33708,1.33811,1.33698,1.33762,1071
2026-01-15 17:15:00,1.33761,1.33793,1.3369,1.33734,864
2026-01-15 17:30:00,1.33732,1.33813,1.33707,1.33808,766
2026-01-15 17:45:00,1.33809,1.33884,1.33804,1.33862,987
2026-01-15 18:00:00,1.33863,1.33871,1.33794,1.33864,906
2026-01-15 18:15:00,1.33868,1.33929,1.33863,1.33893,673
2026-01-15 18:30:00,1.33894,1.33943,1.33864,1.33887,712
2026-01-15 18:45:00,1.3389,1.33913,1.33833,1.3385,792
2026-01-15 19:00:00,1.33849,1.33892,1.33809,1.33888,679
2026-01-15 19:15:00,1.33888,1.33913,1.33838,1.33902,628
2026-01-15 19:30:00,1.33902,1.33927,1.3387,1.33887,629
2026-01-15 19:45:00,1.33888,1.33935,1.33845,1.33869,629
2026-01-15 20:00:00,1.3387,1.33939,1.3387,1.33912,598
2026-01-15 20:15:00,1.33913,1.33923,1.33874,1.33916,597
2026-01-15 20:30:00,1.33916,1.33935,1.33892,1.33931,508
2026-01-15 20:45:00,1.33931,1.33939,1.33881,1.33917,508
2026-01-15 21:00:00,1.33915,1.33915,1.33832,1.33883,631
2026-01-15 21:15:00,1.33887,1.33922,1.33881,1.33886,612
2026-01-15 21:30:00,1.33889,1.33895,1.33859,1.3387,660
2026-01-15 21:45:00,1.3387,1.33877,1.33837,1.33856,533
2026-01-15 22:00:00,1.33855,1.33855,1.33813,1.33815,495
2026-01-15 22:15:00,1.33816,1.33825,1.33756,1.33775,614
2026-01-15 22:30:00,1.33774,1.33783,1.33743,1.33755,514
2026-01-15 22:45:00,1.33759,1.33783,1.33748,1.33757,453
2026-01-15 23:00:00,1.33747,1.33785,1.33743,1.3377,647
2026-01-15 23:15:00,1.33771,1.33792,1.3376,1.33782,578
2026-01-15 23:30:00,1.33784,1.33813,1.3377,1.33787,319
2026-01-15 23:45:00,1.33786,1.33838,1.33782,1.33797,397
2026-01-16 00:00:00,1.33765,1.33788,1.33707,1.33788,53
2026-01-16 00:15:00,1.33788,1.3382,1.33783,1.33804,121
2026-01-16 00:30:00,1.33804,1.3381,1.33751,1.338,65
2026-01-16 00:45:00,1.338,1.33809,1.33766,1.33785,90
2026-01-16 01:00:00,1.33792,1.33824,1.33751,1.33792,799
2026-01-16 01:15:00,1.33788,1.33819,1.33786,1.33796,481
2026-01-16 01:30:00,1.33796,1.33809,1.33782,1.33801,227
2026-01-16 01:45:00,1.33801,1.33828,1.33801,1.33808,168
2026-01-16 02:00:00,1.33808,1.33826,1.33801,1.33817,303
2026-01-16 02:15:00,1.33818,1.33819,1.33794,1.33806,263
2026-01-16 02:30:00,1.33805,1.3381,1.33786,1.33789,278
2026-01-16 02:45:00,1.3379,1.33793,1.33709,1.33766,594
2026-01-16 03:00:00,1.33759,1.33802,1.33749,1.33799,468
2026-01-16 03:15:00,1.33803,1.33819,1.33784,1.33809,388
2026-01-16 03:30:00,1.33808,1.33833,1.33802,1.33807,423
2026-01-16 03:45:00,1.33807,1.33819,1.33783,1.33795,387
2026-01-16 04:00:00,1.33794,1.3384,1.33782,1.33819,474
2026-01-16 04:15:00,1.33819,1.33864,1.33812,1.33844,415
2026-01-16 04:30:00,1.33842,1.33876,1.33831,1.33876,593
2026-01-16 04:45:00,1.33874,1.33881,1.33824,1.33836,454
2026-01-16 05:00:00,1.33843,1.33868,1.33823,1.33844,346
2026-01-16 05:15:00,1.33845,1.33852,1.33827,1.33845,292
2026-01-16 05:30:00,1.33845,1.33882,1.33839,1.33881,309
2026-01-16 05:45:00,1.33882,1.33911,1.33854,1.3391,333
2026-01-16 06:00:00,1.3391,1.33911,1.33877,1.33888,263
2026-01-16 06:15:00,1.33887,1.33904,1.33883,1.33899,215
2026-01-16 06:30:00,1.339,1.33913,1.33892,1.33897,278
2026-01-16 06:45:00,1.33896,1.33907,1.33882,1.3389,318
2026-01-16 07:00:00,1.3389,1.33899,1.33842,1.33856,277
2026-01-16 07:15:00,1.33857,1.3389,1.33852,1.33871,346
2026-01-16 07:30:00,1.3387,1.33883,1.33856,1.33857,314
2026-01-16 07:45:00,1.33858,1.33867,1.33811,1.33828,386
2026-01-16 08:00:00,1.33827,1.3384,1.33811,1.33824,426
2026-01-16 08:15:00,1.33823,1.33833,1.33793,1.33813,333
2026-01-16 08:30:00,1.33817,1.33823,1.33784,1.33786,420
2026-01-16 08:45:00,1.33786,1.33811,1.33766,1.33801,541
2026-01-16 09:00:00,1.33796,1.33856,1.33778,1.33848,517
2026-01-16 09:15:00,1.33852,1.33862,1.33819,1.33853,661
2026-01-16 09:30:00,1.33855,1.33903,1.33816,1.33898,634
