time,open,high,low,close,volume
2026-01-15 14:00:00,158.569,158.594,158.537,158.57,368
2026-01-15 14:15:00,158.569,158.581,158.501,158.514,332
2026-01-15 14:30:00,158.514,158.561,158.489,158.541,365
2026-01-15 14:45:00,158.541,158.6,158.539,158.586,337
2026-01-15 15:00:00,158.602,158.608,158.599,158.607,17
2026-01-15 15:15:00,158.606,158.633,158.551,158.554,595
2026-01-15 15:30:00,158.544,158.792,158.544,158.743,828
2026-01-15 15:45:00,158.742,158.852,158.741,158.828,707
2026-01-15 16:00:00,158.829,158.877,158.751,158.766,717
2026-01-15 16:15:00,158.767,158.781,158.646,158.715,703
2026-01-15 16:30:00,158.715,158.849,158.665,158.827,760
2026-01-15 16:45:00,158.826,158.841,158.699,158.741,686
2026-01-15 17:00:00,158.739,158.742,158.626,158.692,688
2026-01-15 17:15:00,158.691,158.694,158.581,158.581,690
2026-01-15 17:30:00,158.586,158.623,158.511,158.527,684
2026-01-15 17:45:00,158.528,158.558,158.475,158.536,729
2026-01-15 18:00:00,158.534,158.566,158.505,158.515,628
2026-01-15 18:15:00,158.516,158.516,158.411,158.457,498
2026-01-15 18:30:00,158.456,158.497,158.444,158.494,474
2026-01-15 18:45:00,158.497,158.541,158.463,158.502,527
2026-01-15 19:00:00,158.499,158.52,158.443,158.466,431
2026-01-15 19:15:00,158.466,158.501,158.45,158.457,379
2026-01-15 19:30:00,158.455,158.488,158.455,158.481,368
2026-01-15 19:45:00,158.481,158.538,158.467,158.508,404
2026-01-15 20:00:00,158.507,158.521,158.475,158.499,476
2026-01-15 20:15:00,158.502,158.521,158.484,158.493,370
2026-01-15 20:30:00,158.491,158.509,158.476,158.489,352
2026-01-15 20:45:00,158.49,158.504,158.477,158.491,326
2026-01-15 21:00:00,158.49,158.535,158.49,158.502,393
2026-01-15 21:15:00,158.501,158.502,158.463,158.477,341
2026-01-15 21:30:00,158.476,158.552,158.474,158.549,417
2026-01-15 21:45:00,158.547,158.558,158.524,158.536,367
2026-01-15 22:00:00,158.527,158.538,158.512,158.527,297
2026-01-15 22:15:00,158.527,158.596,158.526,158.578,334
2026-01-15 22:30:00,158.574,158.627,158.574,158.601,341
2026-01-15 22:45:00,158.6,158.643,158.589,158.641,329
2026-01-15 23:00:00,158.641,158.671,158.627,158.656,282
2026-01-15 23:15:00,158.658,158.668,158.605,158.618,201
2026-01-15 23:30:00,158.617,158.652,158.615,158.647,169
2026-01-15 23:45:00,158.648,158.654,158.609,158.616,228
2026-01-16 00:00:00,158.595,158.626,158.546,158.618,23
2026-01-16 00:15:00,158.618,158.628,158.57,158.614,63
2026-01-16 00:30:00,158.588,158.63,158.573,158.608,92
2026-01-16 00:45:00,158.608,158.643,158.592,158.623,88
2026-01-16 01:00:00,158.614,158.669,158.58,158.618,159
2026-01-16 01:15:00,158.615,158.665,158.614,158.65,194
2026-01-16 01:30:00,158.648,158.67,158.625,158.625,242
2026-01-16 01:45:00,158.627,158.633,158.563,158.59,300
2026-01-16 02:00:00,158.587,158.597,158.52,158.556,448
2026-01-16 02:15:00,158.558,158.595,158.552,158.592,395
2026-01-16 02:30:00,158.592,158.61,158.54,158.584,400
2026-01-16 02:45:00,158.582,158.702,158.58,158.653,590
2026-01-16 03:00:00,158.654,158.68,158.545,158.545,577
2026-01-16 03:15:00,158.543,158.546,158.471,158.504,478
2026-01-16 03:30:00,158.505,158.535,158.475,158.528,357
2026-01-16 03:45:00,158.525,158.608,158.512,158.596,456
2026-01-16 04:00:00,158.597,158.63,158.516,158.554,416
2026-01-16 04:15:00,158.552,158.585,158.339,158.407,633
2026-01-16 04:30:00,158.406,158.419,157.974,158.156,786
2026-01-16 04:45:00,158.152,158.34,158.136,158.304,689
2026-01-16 05:00:00,158.301,158.307,158.136,158.139,535
2026-01-16 05:15:00,158.138,158.264,158.138,158.216,427
2026-01-16 05:30:00,158.218,158.232,158.131,158.141,395
