time,open,high,low,close,volume
2026-05-13 06:10:00,157.662,157.674,157.639,157.663,128
2026-05-13 06:15:00,157.663,157.674,157.659,157.666,90
2026-05-13 06:20:00,157.666,157.675,157.654,157.662,89
2026-05-13 06:25:00,157.662,157.663,157.646,157.649,126
2026-05-13 06:30:00,157.65,157.664,157.638,157.64,171
2026-05-13 06:35:00,157.64,157.661,157.624,157.653,140
2026-05-13 06:40:00,157.652,157.663,157.645,157.649,75
2026-05-13 06:45:00,157.649,157.671,157.639,157.669,93
2026-05-13 06:50:00,157.67,157.67,157.654,157.661,80
2026-05-13 06:55:00,157.66,157.686,157.658,157.679,101
2026-05-13 07:00:00,157.68,157.69,157.673,157.675,112
2026-05-13 07:05:00,157.675,157.687,157.67,157.685,68
2026-05-13 07:10:00,157.686,157.687,157.673,157.685,83
2026-05-13 07:15:00,157.685,157.695,157.676,157.695,70
2026-05-13 07:20:00,157.695,157.7,157.685,157.698,83
2026-05-13 07:25:00,157.698,157.711,157.689,157.709,111
2026-05-13 07:30:00,157.709,157.741,157.709,157.733,150
2026-05-13 07:35:00,157.733,157.75,157.732,157.734,124
2026-05-13 07:40:00,157.734,157.741,157.721,157.733,112
2026-05-13 07:45:00,157.733,157.735,157.72,157.72,86
2026-05-13 07:50:00,157.72,157.725,157.715,157.72,106
2026-05-13 07:55:00,157.72,157.734,157.715,157.717,144
2026-05-13 08:00:00,157.717,157.735,157.708,157.711,175
2026-05-13 08:05:00,157.71,157.723,157.703,157.714,129
2026-05-13 08:10:00,157.714,157.726,157.703,157.724,139
2026-05-13 08:15:00,157.725,157.734,157.717,157.725,118
2026-05-13 08:20:00,157.725,157.736,157.714,157.716,109
2026-05-13 08:25:00,157.716,157.725,157.7,157.712,162
2026-05-13 08:30:00,157.712,157.715,157.7,157.701,129
2026-05-13 08:35:00,157.701,157.711,157.698,157.711,144
2026-05-13 08:40:00,157.711,157.721,157.698,157.704,169
2026-05-13 08:45:00,157.704,157.711,157.696,157.706,140
2026-05-13 08:50:00,157.706,157.73,157.698,157.727,158
2026-05-13 08:55:00,157.727,157.73,157.684,157.685,196
2026-05-13 09:00:00,157.685,157.712,157.684,157.7,245
2026-05-13 09:05:00,157.7,157.729,157.7,157.723,130
2026-05-13 09:10:00,157.723,157.738,157.702,157.733,171
2026-05-13 09:15:00,157.733,157.738,157.718,157.738,165
2026-05-13 09:20:00,157.738,157.738,157.724,157.73,172
2026-05-13 09:25:00,157.73,157.738,157.726,157.736,165
2026-05-13 09:30:00,157.736,157.74,157.721,157.724,245
2026-05-13 09:35:00,157.724,157.731,157.711,157.724,263
2026-05-13 09:40:00,157.724,157.736,157.715,157.717,209
2026-05-13 09:45:00,157.717,157.751,157.717,157.747,146
2026-05-13 09:50:00,157.747,157.773,157.747,157.747,181
2026-05-13 09:55:00,157.747,157.787,157.74,157.771,246
2026-05-13 10:00:00,157.771,157.778,157.701,157.722,401
2026-05-13 10:05:00,157.722,157.728,157.702,157.717,245
2026-05-13 10:10:00,157.717,157.74,157.703,157.707,209
2026-05-13 10:15:00,157.707,157.721,157.697,157.716,184
2026-05-13 10:20:00,157.716,157.725,157.676,157.69,232
2026-05-13 10:25:00,157.69,157.705,157.682,157.684,167
2026-05-13 10:30:00,157.684,157.706,157.683,157.706,212
2026-05-13 10:35:00,157.706,157.749,157.7,157.743,199
2026-05-13 10:40:00,157.743,157.776,157.742,157.771,210
2026-05-13 10:45:00,157.771,157.786,157.762,157.763,182
2026-05-13 10:50:00,157.764,157.825,157.764,157.821,240
2026-05-13 10:55:00,157.822,157.842,157.797,157.832,276
2026-05-13 11:00:00,157.834,157.844,157.777,157.783,435
2026-05-13 11:05:00,157.783,157.791,157.751,157.775,382
2026-05-13 11:10:00,157.775,157.8,157.772,157.778,229
