time,open,high,low,close,volume
2026-05-13 06:10:00,1.35328,1.35356,1.35325,1.35347,337
2026-05-13 06:15:00,1.35347,1.35353,1.35326,1.35339,238
2026-05-13 06:20:00,1.35339,1.35352,1.35334,1.35349,151
2026-05-13 06:25:00,1.35349,1.35358,1.35345,1.35352,284
2026-05-13 06:30:00,1.35352,1.35389,1.35352,1.35381,252
2026-05-13 06:35:00,1.35381,1.354,1.35371,1.35378,192
2026-05-13 06:40:00,1.35378,1.35385,1.35368,1.35379,172
2026-05-13 06:45:00,1.35379,1.35387,1.35366,1.35367,220
2026-05-13 06:50:00,1.35367,1.35391,1.35355,1.35386,165
2026-05-13 06:55:00,1.35386,1.3539,1.35366,1.35374,193
2026-05-13 07:00:00,1.35375,1.3538,1.35367,1.35375,141
2026-05-13 07:05:00,1.35375,1.35377,1.35356,1.35357,130
2026-05-13 07:10:00,1.35357,1.3536,1.35336,1.35349,143
2026-05-13 07:15:00,1.35349,1.35358,1.35346,1.35349,124
2026-05-13 07:20:00,1.35349,1.35356,1.35346,1.35349,324
2026-05-13 07:25:00,1.35349,1.35352,1.35333,1.35337,196
2026-05-13 07:30:00,1.35337,1.35348,1.35327,1.35328,275
2026-05-13 07:35:00,1.35328,1.35331,1.35317,1.35328,174
2026-05-13 07:40:00,1.35328,1.3533,1.3532,1.35328,112
2026-05-13 07:45:00,1.35328,1.35339,1.35326,1.35337,149
2026-05-13 07:50:00,1.35337,1.35343,1.35327,1.35342,130
2026-05-13 07:55:00,1.35342,1.35349,1.35333,1.35338,149
2026-05-13 08:00:00,1.35338,1.35371,1.35334,1.35368,238
2026-05-13 08:05:00,1.35368,1.35379,1.35361,1.35379,324
2026-05-13 08:10:00,1.35379,1.35405,1.35376,1.35395,331
2026-05-13 08:15:00,1.35395,1.35397,1.35376,1.35377,220
2026-05-13 08:20:00,1.35377,1.35425,1.35377,1.35421,252
2026-05-13 08:25:00,1.35421,1.35448,1.35404,1.35436,270
2026-05-13 08:30:00,1.35437,1.3545,1.3543,1.35438,303
2026-05-13 08:35:00,1.35438,1.35461,1.35429,1.35457,208
2026-05-13 08:40:00,1.35457,1.35465,1.35427,1.35444,219
2026-05-13 08:45:00,1.35444,1.35481,1.35444,1.35474,264
2026-05-13 08:50:00,1.35474,1.3548,1.35458,1.35473,303
2026-05-13 08:55:00,1.35473,1.35491,1.35465,1.35484,296
2026-05-13 09:00:00,1.35484,1.35512,1.35444,1.35498,512
2026-05-13 09:05:00,1.35497,1.35497,1.35424,1.35426,347
2026-05-13 09:10:00,1.35426,1.35429,1.35384,1.35408,392
2026-05-13 09:15:00,1.35408,1.35435,1.35386,1.35406,386
2026-05-13 09:20:00,1.35407,1.35408,1.35351,1.35356,301
2026-05-13 09:25:00,1.35356,1.35413,1.35354,1.35404,339
2026-05-13 09:30:00,1.35404,1.35416,1.35369,1.3538,339
2026-05-13 09:35:00,1.3538,1.35394,1.35339,1.3534,350
2026-05-13 09:40:00,1.3534,1.35365,1.35332,1.35345,351
2026-05-13 09:45:00,1.35345,1.3535,1.3531,1.35311,381
2026-05-13 09:50:00,1.35311,1.35318,1.35232,1.35287,485
2026-05-13 09:55:00,1.35287,1.35287,1.35255,1.35279,425
2026-05-13 10:00:00,1.35279,1.35371,1.3526,1.35358,594
2026-05-13 10:05:00,1.35358,1.35367,1.35308,1.35309,442
2026-05-13 10:10:00,1.35309,1.35309,1.35236,1.35268,471
2026-05-13 10:15:00,1.35268,1.35308,1.35255,1.35261,431
2026-05-13 10:20:00,1.35261,1.35311,1.35257,1.35302,449
2026-05-13 10:25:00,1.35302,1.35322,1.35287,1.35316,384
2026-05-13 10:30:00,1.35316,1.35319,1.35288,1.35308,349
2026-05-13 10:35:00,1.35308,1.35327,1.35241,1.35254,429
2026-05-13 10:40:00,1.35254,1.35266,1.35221,1.35255,445
2026-05-13 10:45:00,1.35255,1.35297,1.35251,1.3527,525
2026-05-13 10:50:00,1.3527,1.35291,1.35231,1.35236,467
2026-05-13 10:55:00,1.35236,1.35256,1.35198,1.35203,415
2026-05-13 11:00:00,1.35203,1.35242,1.35185,1.35227,581
2026-05-13 11:05:00,1.35228,1.35246,1.35218,1.35219,482
2026-05-13 11:10:00,1.35219,1.35268,1.35219,1.35266,301
2026-05-13 11:15:00,1.35266,1.35284,1.35251,1.3528,312
2026-05-13 11:20:00,1.3528,1.35319,1.35266,1.35308,274
2026-05-13 11:25:00,1.35308,1.35324,1.35296,1.35324,366
2026-05-13 11:30:00,1.35324,1.35329,1.35296,1.35301,376
2026-05-13 11:35:00,1.35301,1.35311,1.35267,1.35269,261
2026-05-13 11:40:00,1.35269,1.35282,1.35247,1.35258,353
2026-05-13 11:45:00,1.35258,1.35265,1.35214,1.3522,448
2026-05-13 11:50:00,1.35221,1.3523,1.35208,1.35221,309
2026-05-13 11:55:00,1.35222,1.35335,1.35211,1.35238,575
2026-05-13 12:00:00,1.35238,1.35243,1.35153,1.35201,486
2026-05-13 12:05:00,1.35201,1.35233,1.35199,1.35228,402
2026-05-13 12:10:00,1.35228,1.35228,1.35198,1.35212,430
2026-05-13 12:15:00,1.35212,1.3522,1.35128,1.35139,477
2026-05-13 12:20:00,1.35139,1.3515,1.3512,1.35129,377
2026-05-13 12:25:00,1.35129,1.35135,1.35108,1.35116,329
2026-05-13 12:30:00,1.35116,1.35178,1.35111,1.35113,453
2026-05-13 12:35:00,1.35113,1.35134,1.35079,1.35097,416
2026-05-13 12:40:00,1.35098,1.351,1.35077,1.35085,216
2026-05-13 12:45:00,1.35085,1.35092,1.35065,1.35078,260
2026-05-13 12:50:00,1.35078,1.35139,1.35077,1.35138,374
2026-05-13 12:55:00,1.35138,1.35182,1.35118,1.35177,433
2026-05-13 13:00:00,1.35176,1.35193,1.35168,1.35177,414
2026-05-13 13:05:00,1.35177,1.35215,1.35177,1.35215,285
2026-05-13 13:10:00,1.35215,1.35217,1.34941,1.35094,1324
2026-05-13 13:15:00,1.35094,1.35094,1.34999,1.35066,770
2026-05-13 13:20:00,1.35066,1.35214,1.35065,1.35111,899
2026-05-13 13:25:00,1.35111,1.35115,1.35066,1.35085,695
2026-05-13 13:30:00,1.35085,1.35091,1.35041,1.35045,504
2026-05-13 13:35:00,1.35045,1.35068,1.35033,1.35064,365
2026-05-13 13:40:00,1.35064,1.35154,1.35064,1.35137,513
2026-05-13 13:45:00,1.35137,1.35199,1.35109,1.35194,417
2026-05-13 13:50:00,1.35194,1.35202,1.35156,1.35156,367
2026-05-13 13:55:00,1.35156,1.35156,1.35056,1.35069,692
2026-05-13 14:00:00,1.35069,1.351,1.35055,1.35061,550
2026-05-13 14:05:00,1.35061,1.35061,1.35001,1.35003,541
2026-05-13 14:10:00,1.35003,1.35057,1.34991,1.35039,406
2026-05-13 14:15:00,1.35039,1.3507,1.35035,1.35066,327
2026-05-13 14:20:00,1.35066,1.35077,1.35057,1.35069,292
2026-05-13 14:25:00,1.35069,1.35072,1.35049,1.35066,284
2026-05-13 14:30:00,1.35066,1.3508,1.3505,1.35069,377
2026-05-13 14:35:00,1.35069,1.35096,1.3506,1.35079,335
