time,open,high,low,close,volume
2024-08-30 07:00:00,19393.21,19407.83,19376.33,19404.83,3062
2024-08-30 08:00:00,19404.71,19422.21,19392.83,19397.08,5137
2024-08-30 09:00:00,19397.21,19428.31,19393.08,19419.93,4723
2024-08-30 10:00:00,19419.18,19479.68,19401.68,19462.06,7813
2024-08-30 11:00:00,19462.18,19473.68,19444.06,19459.18,6551
2024-08-30 12:00:00,19459.18,19470.56,19451.68,19469.81,4154
2024-08-30 13:00:00,19469.81,19487.56,19439.81,19486.43,5009
2024-08-30 14:00:00,19486.31,19486.56,19453.68,19467.56,5432
2024-08-30 15:00:00,19467.43,19513.06,19449.81,19467.56,10891
2024-08-30 16:00:00,19467.31,19541.28,19454.78,19532.03,18118
2024-08-30 17:00:00,19532.16,19568.53,19407.66,19408.41,23079
2024-08-30 18:00:00,19408.78,19443.28,19354.91,19402.28,22207
2024-08-30 19:00:00,19402.41,19423.66,19311.78,19404.03,20435
2024-08-30 20:00:00,19403.78,19435.91,19379.53,19387.03,17230
2024-08-30 21:00:00,19387.03,19478.53,19374.78,19464.53,15529
2024-08-30 22:00:00,19464.28,19573.08,19436.28,19553.46,17618
2024-09-02 01:00:00,19554.28,19576.53,19520.15,19539.4,3005
2024-09-02 02:00:00,19539.03,19554.9,19534.4,19537.03,2622
2024-09-02 03:00:00,19536.78,19570.9,19533.15,19559.53,5357
2024-09-02 04:00:00,19559.65,19577.9,19559.4,19567.53,4550
2024-09-02 05:00:00,19567.53,19567.53,19540.4,19548.03,4677
2024-09-02 06:00:00,19547.9,19548.28,19526.15,19540.9,3935
2024-09-02 07:00:00,19540.9,19541.03,19516.03,19533.65,3296
2024-09-02 08:00:00,19533.28,19549.03,19530.53,19535.28,3604
2024-09-02 09:00:00,19535.15,19542.65,19505.38,19513.13,3764
2024-09-02 10:00:00,19513.13,19514.25,19462.25,19486.38,7807
2024-09-02 11:00:00,19486.38,19537.75,19486.13,19520.75,6821
2024-09-02 12:00:00,19520.63,19544.38,19516.13,19540.5,4539
2024-09-02 13:00:00,19540.75,19549.13,19530.75,19546.5,3546
2024-09-02 14:00:00,19547.5,19558.38,19535.38,19555.38,3432
2024-09-02 15:00:00,19555.13,19574.75,19553.0,19558.75,4006
2024-09-02 16:00:00,19558.88,19595.85,19558.88,19570.1,6198
2024-09-02 17:00:00,19570.35,19615.73,19538.85,19608.35,7993
2024-09-02 18:00:00,19608.35,19619.98,19593.1,19603.73,5871
2024-09-02 19:00:00,19603.73,19610.23,19579.6,19597.73,3765
2024-09-03 01:00:00,19610.8,19636.05,19570.17,19590.8,4713
2024-09-03 02:00:00,19590.8,19591.17,19499.8,19533.8,5411
2024-09-03 03:00:00,19535.17,19551.42,19520.92,19545.55,5390
2024-09-03 04:00:00,19545.42,19561.67,19540.8,19548.3,6008
2024-09-03 05:00:00,19548.17,19551.55,19501.17,19506.55,5388
2024-09-03 06:00:00,19506.42,19515.05,19468.05,19515.05,6906
2024-09-03 07:00:00,19514.67,19517.8,19502.8,19506.8,3617
2024-09-03 08:00:00,19506.8,19524.55,19500.8,19520.05,4795
2024-09-03 09:00:00,19520.05,19529.52,19472.77,19525.15,6099
2024-09-03 10:00:00,19525.27,19597.52,19524.27,19567.4,8434
2024-09-03 11:00:00,19569.65,19585.4,19454.9,19454.9,10704
2024-09-03 12:00:00,19455.4,19467.15,19399.52,19422.27,10738
2024-09-03 13:00:00,19422.15,19462.27,19407.52,19452.65,9512
2024-09-03 14:00:00,19453.02,19464.65,19411.65,19449.02,9363
2024-09-03 15:00:00,19449.15,19475.27,19431.4,19432.65,9754
2024-09-03 16:00:00,19432.4,19463.02,19285.25,19323.25,18580
2024-09-03 17:00:00,19323.25,19338.87,19112.12,19115.25,23393
2024-09-03 18:00:00,19115.62,19186.87,19097.87,19101.12,21149
2024-09-03 19:00:00,19101.5,19158.37,19088.12,19093.12,18726
2024-09-03 20:00:00,19092.87,19132.12,19058.5,19062.25,17758
2024-09-03 21:00:00,19062.12,19066.87,18984.25,18999.0,19342
2024-09-03 22:00:00,18998.62,19025.25,18865.0,18967.3,19873
2024-09-03 23:00:00,18963.8,18990.92,18923.05,18948.67,10993
2024-09-04 01:00:00,18945.72,18961.47,18902.84,18920.22,5156
2024-09-04 02:00:00,18920.22,18931.59,18889.72,18913.34,5468
2024-09-04 03:00:00,18912.72,18938.72,18798.84,18806.09,10622
2024-09-04 04:00:00,18805.97,18887.34,18781.97,18843.47,11879
2024-09-04 05:00:00,18842.59,18888.09,18834.47,18849.84,8715
2024-09-04 06:00:00,18849.72,18873.34,18820.47,18836.97,6511
